week,name,grosses,potential_gross,grosses_percentage,average_ticket,top_ticket,seat_sold,total_seat,per,seat_percentage
2018-07-15,BEAUTIFUL,"$737,857","$1,106,908",66.7%,$100.72,$247,7326,8208,8,89.3%
2018-07-15,CAROUSEL,"$866,092","$1,622,728",53.4%,$95.32,$323,9086,11424,8,79.5%
2018-07-15,CHICAGO,"$660,476","$958,024",68.9%,$86.20,$187,7662,8640,8,88.7%
2018-07-15,COME FROM AWAY,"$1,147,526","$1,260,966",91.0%,$134.40,$347,8538,8368,8,102.0%
2018-07-15,DEAR EVAN HANSEN,"$1,652,199","$1,425,136",115.9%,$206.60,$448,7997,7872,8,101.6%
2018-07-15,FROZEN,"$2,087,637","$2,036,628",102.5%,$157.24,$325,13277,13472,8,98.6%
2018-07-15,HAMILTON,"$3,109,924","$2,895,648",107.4%,$289.13,$849,10756,10568,8,101.8%
2018-07-15,"HARRY POTTER AND THE CURSED CHILD, PARTS ONE AND TWO","$2,211,269","$1,988,464",111.2%,$170.41,$297,12976,12976,8,100.0%
2018-07-15,HEAD OVER HEELS,"$306,926","$870,832",35.2%,$50.05,$258,6132,7584,8,80.9%
2018-07-15,"HELLO, DOLLY!","$974,225","$1,371,056",71.1%,$88.84,$297,10966,11568,8,94.8%
2018-07-15,KINKY BOOTS,"$679,248","$1,294,256",52.5%,$89.79,$249,7565,11392,8,66.4%
2018-07-15,MEAN GIRLS,"$1,557,871","$1,469,426",106.0%,$157.38,$400,9899,9800,8,101.0%
2018-07-15,MY FAIR LADY,"$1,332,037","$1,396,120",95.4%,$158.33,$323,8413,8552,8,98.4%
2018-07-15,ONCE ON THIS ISLAND,"$569,222","$792,176",71.9%,$105.37,$250,5402,5568,8,97.0%
2018-07-15,SCHOOL OF ROCK,"$929,422","$1,443,688",64.4%,$91.57,$248,10150,12184,8,83.3%
2018-07-15,SPONGEBOB SQUAREPANTS,"$910,545","$1,318,198",69.1%,$77.83,$248,11699,12880,8,90.8%
2018-07-15,SPRINGSTEEN ON BROADWAY,"$2,410,195","$2,384,275",101.1%,$508.48,$850,4740,4740,5,100.0%
2018-07-15,STRAIGHT WHITE MEN,"$350,130","$638,296",54.9%,$79.92,$249,4381,4648,8,94.3%
2018-07-15,SUMMER,"$814,286","$1,455,668",55.9%,$104.73,$297,7775,11760,8,66.1%
2018-07-15,THE BAND'S VISIT,"$1,068,647","$1,024,568",104.3%,$128.57,$297,8312,8312,8,100.0%
2018-07-15,THE BOOK OF MORMON,"$1,094,464","$1,190,502",91.9%,$125.79,$478,8701,8376,8,103.9%
2018-07-15,THE BOYS IN THE BAND,"$929,338","$957,024",97.1%,$153.41,$397,6058,6192,8,97.8%
2018-07-15,THE LION KING,"$2,721,986","$2,566,400",106.1%,$179.73,$225,15145,15264,9,99.2%
2018-07-15,THE PHANTOM OF THE OPERA,"$1,117,109","$1,356,418",82.4%,$90.37,$213,12362,12840,8,96.3%
