week,name,grosses,potential_gross,grosses_percentage,average_ticket,top_ticket,seat_sold,total_seat,per,seat_percentage
2016-12-18,HAMILTON,"$2,240,488","$2,169,648",103.3%,$208.65,$549,10738,10568,8,101.6%
2016-12-18,HOLIDAY INN,"$733,385","$968,824",75.7%,$93.94,$162,7807,7984,8,97.8%
2016-12-18,IN TRANSIT,"$240,765","$734,048",32.8%,$57.89,$249,4159,5264,8,79.0%
2016-12-18,JERSEY BOYS,"$1,236,742","$1,151,143",107.4%,$131.34,$199,9416,9824,8,95.8%
2016-12-18,KINKY BOOTS,"$818,285","$1,268,468",64.5%,$100.11,$299,8174,11392,8,71.8%
2016-12-18,LES LIAISONS DANGEREUSES,"$359,317","$797,332",45.1%,$93.45,$273,3845,6160,8,62.4%
2016-12-18,MATILDA,"$1,108,471","$1,209,739",91.6%,$100.25,$250,11057,11456,8,96.5%
2016-12-18,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$1,121,528","$968,984",115.7%,$126.96,$267,8834,9104,8,97.0%
2016-12-18,"OH, HELLO ON BROADWAY","$606,841","$754,318",80.4%,$88.53,$248,6855,7288,8,94.1%
2016-12-18,ON YOUR FEET!,"$747,841","$1,552,352",48.2%,$96.90,$199,7718,13008,8,59.3%
2016-12-18,PARAMOUR,"$1,039,209","$1,805,456",57.6%,$92.54,$199,11230,15168,8,74.0%
2016-12-18,SCHOOL OF ROCK,"$1,109,802","$1,536,125",72.2%,$101.24,$223,10962,12184,8,90.0%
2016-12-18,SOMETHING ROTTEN!,"$717,772","$1,388,900",51.7%,$79.73,$277,9002,12360,8,72.8%
2016-12-18,THE BOOK OF MORMON,"$1,461,856","$1,345,936",108.6%,$168.18,$477,8692,8528,8,101.9%
2016-12-18,THE COLOR PURPLE,"$688,502","$1,015,182",67.8%,$97.31,$193,7075,8408,8,84.1%
2016-12-18,THE ENCOUNTER,"$195,566","$695,732",28.1%,$53.30,$223,3669,6040,8,60.7%
2016-12-18,THE FRONT PAGE,"$1,210,332","$1,333,080",90.8%,$133.15,$373,9090,9424,8,96.5%
2016-12-18,THE HUMANS,"$461,088","$976,376",47.2%,$79.59,$297,5793,8280,8,70.0%
2016-12-18,THE ILLUSIONISTS - TURN OF THE CENTURY,"$701,967","$1,507,456",46.6%,$75.99,$247,9238,13528,8,68.3%
2016-12-18,THE LION KING,"$2,191,076","$2,195,733",99.8%,$166.27,$225,13178,13568,8,97.1%
2016-12-18,THE PHANTOM OF THE OPERA,"$927,998","$1,493,252",62.1%,$95.69,$203,9698,12840,8,75.5%
2016-12-18,THE PRESENT,"$151,686","$136,521",111.1%,$144.33,$272,1051,1053,1,99.8%
2016-12-18,WAITRESS,"$859,144","$1,019,480",84.3%,$117.21,$270,7330,8360,8,87.7%
2016-12-18,WICKED,"$2,092,270","$1,779,845",117.6%,$140.31,$240,14912,14936,8,99.8%
2016-12-11,A BRONX TALE THE MUSICAL,"$913,048","$951,630",95.9%,$113.35,$275,8055,8352,8,96.4%
2016-12-11,ALADDIN,"$1,612,134","$1,687,876",95.5%,$119.06,$300,13541,13816,8,98.0%
2016-12-11,BEAUTIFUL,"$1,061,673","$1,117,426",95.0%,$130.72,$249,8122,8208,8,99.0%
2016-12-11,CATS,"$975,199","$1,426,700",68.4%,$102.86,$197,9481,11000,8,86.2%
2016-12-11,CHICAGO,"$610,112","$947,952",64.4%,$85.44,$187,7141,8640,8,82.7%
2016-12-11,DEAR EVAN HANSEN,"$974,983","$1,020,214",95.6%,$122.03,$248,7990,7872,8,101.5%
2016-12-11,FALSETTOS,"$623,147","$934,232",66.7%,$89.30,$252,6978,7456,8,93.6%
2016-12-11,FIDDLER ON THE ROOF,"$886,836","$1,521,100",58.3%,$88.83,$225,9983,13656,8,73.1%
2016-12-11,HAMILTON,"$2,443,438","$2,376,704",102.8%,$227.23,$549,10753,10568,8,101.8%
2016-12-11,HEISENBERG,"$431,180","$794,920",54.2%,$82.13,$155,5250,5824,8,90.1%
2016-12-11,HOLIDAY INN,"$783,544","$968,824",80.9%,$101.01,$162,7757,7984,8,97.2%
2016-12-11,IN TRANSIT,"$225,117","$734,048",30.7%,$44.95,$249,5008,5264,8,95.1%
2016-12-11,JERSEY BOYS,"$1,214,318","$1,151,143",105.5%,$129.13,$199,9404,9824,8,95.7%
2016-12-11,KINKY BOOTS,"$922,203","$1,359,682",67.8%,$101.37,$299,9097,11392,8,79.9%
2016-12-11,LES LIAISONS DANGEREUSES,"$471,279","$822,852",57.3%,$100.81,$248,4675,6160,8,75.9%
2016-12-11,MATILDA,"$978,031","$1,209,739",80.8%,$91.32,$250,10710,11456,8,93.5%
2016-12-11,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$1,209,021","$968,984",124.8%,$134.43,$267,8994,9104,8,98.8%
2016-12-11,"OH, HELLO ON BROADWAY","$574,019","$754,318",76.1%,$87.65,$248,6549,7288,8,89.9%
2016-12-11,ON YOUR FEET!,"$936,061","$1,552,352",60.3%,$101.91,$199,9185,13008,8,70.6%
2016-12-11,PARAMOUR,"$1,029,466","$1,805,456",57.0%,$92.73,$199,11102,15168,8,73.2%
2016-12-11,SCHOOL OF ROCK,"$1,045,820","$1,536,125",68.1%,$99.30,$248,10532,12184,8,86.4%
2016-12-11,SOMETHING ROTTEN!,"$686,770","$1,388,900",49.4%,$82.95,$277,8279,12360,8,67.0%
2016-12-11,THE BOOK OF MORMON,"$1,432,327","$1,345,936",106.4%,$164.77,$477,8693,8528,8,101.9%
2016-12-11,THE COLOR PURPLE,"$672,748","$1,015,182",66.3%,$92.78,$193,7251,8408,8,86.2%
2016-12-11,THE ENCOUNTER,"$210,732","$695,732",30.3%,$57.64,$223,3656,6040,8,60.5%
2016-12-11,THE FRONT PAGE,"$1,293,081","$1,333,080",97.0%,$137.94,$373,9374,9424,8,99.5%
2016-12-11,THE HUMANS,"$569,445","$976,376",58.3%,$92.17,$297,6178,8280,8,74.6%
2016-12-11,THE ILLUSIONISTS - TURN OF THE CENTURY,"$619,795","$1,507,456",41.1%,$76.77,$247,8073,13528,8,59.7%
2016-12-11,THE LION KING,"$2,119,872","$2,126,164",99.7%,$158.41,$225,13382,13568,8,98.6%
2016-12-11,THE PHANTOM OF THE OPERA,"$948,989","$1,493,252",63.6%,$93.82,$203,10115,12840,8,78.8%
2016-12-11,WAITRESS,"$973,728","$1,019,480",95.5%,$125.50,$270,7759,8360,8,92.8%
2016-12-11,WICKED,"$1,909,374","$1,779,845",107.3%,$130.49,$240,14632,14936,8,98.0%
2016-12-04,A BRONX TALE THE MUSICAL,"$723,675","$949,192",76.2%,$91.63,$275,7898,8352,8,94.6%
2016-12-04,ALADDIN,"$1,502,623","$1,697,524",88.5%,$114.55,$300,13118,13816,8,94.9%
2016-12-04,BEAUTIFUL,"$1,002,442","$1,117,426",89.7%,$126.17,$249,7945,8208,8,96.8%
2016-12-04,CATS,"$839,523","$1,426,700",58.8%,$100.52,$197,8352,11000,8,75.9%
2016-12-04,CHICAGO,"$575,500","$947,952",60.7%,$85.83,$187,6705,8640,8,77.6%
2016-12-04,DEAR EVAN HANSEN,"$757,958","$1,021,754",74.2%,$97.40,$248,7782,7872,8,98.9%
2016-12-04,FALSETTOS,"$612,237","$934,232",65.5%,$93.44,$252,6552,7456,8,87.9%
2016-12-04,FIDDLER ON THE ROOF,"$779,306","$1,521,100",51.2%,$86.60,$225,8999,13656,8,65.9%
2016-12-04,HAMILTON,"$2,233,259","$2,169,648",102.9%,$208.09,$549,10732,10568,8,101.6%
2016-12-04,HEISENBERG,"$423,787","$794,920",53.3%,$88.31,$155,4799,5824,8,82.4%
2016-12-04,HOLIDAY INN,"$612,536","$968,824",63.2%,$85.47,$162,7167,7984,8,89.8%
2016-12-04,IN TRANSIT,"$267,726","$734,048",36.5%,$60.61,$249,4417,5264,8,83.9%
2016-12-04,JERSEY BOYS,"$1,085,083","$1,151,143",94.3%,$121.61,$199,8923,9824,8,90.8%
2016-12-04,KINKY BOOTS,"$887,648","$1,346,938",65.9%,$92.69,$299,9577,11392,8,84.1%
2016-12-04,LES LIAISONS DANGEREUSES,"$465,106","$822,852",56.5%,$99.23,$248,4687,6160,8,76.1%
2016-12-04,MATILDA,"$910,704","$1,209,739",75.3%,$87.57,$250,10400,11456,8,90.8%
2016-12-04,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$1,174,389","$968,984",121.2%,$133.96,$267,8767,9104,8,96.3%
2016-12-04,"OH, HELLO ON BROADWAY","$539,525","$754,318",71.5%,$83.00,$248,6500,7288,8,89.2%
2016-12-04,ON YOUR FEET!,"$855,817","$1,552,352",55.1%,$100.90,$199,8482,13008,8,65.2%
2016-12-04,PARAMOUR,"$927,405","$1,805,456",51.4%,$89.55,$199,10356,15168,8,68.3%
2016-12-04,SCHOOL OF ROCK,"$992,601","$1,536,125",64.6%,$100.09,$248,9917,12184,8,81.4%
2016-12-04,SOMETHING ROTTEN!,"$656,689","$1,325,160",49.6%,$80.61,$277,8146,11384,8,71.6%
2016-12-04,THE BOOK OF MORMON,"$1,385,348","$1,345,936",102.9%,$159.44,$477,8689,8528,8,101.9%
2016-12-04,THE CHERRY ORCHARD,"$384,179","$707,360",54.3%,$76.54,$252,5019,5840,8,85.9%
2016-12-04,THE COLOR PURPLE,"$592,926","$1,015,182",58.4%,$90.73,$193,6535,8408,8,77.7%
2016-12-04,THE ENCOUNTER,"$183,243","$695,732",26.3%,$51.90,$223,3531,6040,8,58.5%
2016-12-04,THE FRONT PAGE,"$1,239,977","$1,333,080",93.0%,$136.80,$373,9064,9424,8,96.2%
2016-12-04,THE HUMANS,"$508,686","$976,376",52.1%,$85.69,$297,5936,8280,8,71.7%
2016-12-04,THE ILLUSIONISTS - TURN OF THE CENTURY,"$597,898","$1,507,456",39.7%,$64.51,$247,9268,13528,8,68.5%
2016-12-04,THE LION KING,"$1,899,705","$2,088,443",91.0%,$153.19,$225,12401,13568,8,91.4%
2016-12-04,THE PHANTOM OF THE OPERA,"$798,061","$1,493,252",53.4%,$92.27,$203,8649,12840,8,67.4%
2016-12-04,WAITRESS,"$884,296","$1,019,480",86.7%,$126.47,$270,6992,8360,8,83.6%
2016-12-04,WICKED,"$1,736,046","$1,779,845",97.5%,$132.20,$240,13132,14456,8,90.8%
2016-11-27,A BRONX TALE THE MUSICAL,"$717,860","$824,318",87.1%,$108.10,$210,6641,7308,7,90.9%
2016-11-27,ALADDIN,"$2,047,065","$2,133,352",96.0%,$149.96,$300,13651,13816,8,98.8%
2016-11-27,ALTON BROWN LIVE: EAT YOUR SCIENCE,"$580,738","$933,040",62.2%,$102.77,$198,5651,8208,8,68.8%
2016-11-27,BEAUTIFUL,"$881,609","$1,117,426",78.9%,$121.84,$249,7236,8208,8,88.2%
2016-11-27,CATS,"$1,203,814","$1,426,700",84.4%,$118.82,$197,10131,11000,8,92.1%
2016-11-27,CHICAGO,"$723,854","$947,952",76.4%,$90.40,$187,8007,8640,8,92.7%
2016-11-27,DEAR EVAN HANSEN,"$883,677","$886,816",99.6%,$128.55,$248,6874,6888,7,99.8%
2016-11-27,FALSETTOS,"$648,601","$934,232",69.4%,$100.37,$252,6462,7456,8,86.7%
2016-11-27,FIDDLER ON THE ROOF,"$1,056,474","$1,525,216",69.3%,$99.04,$225,10667,13656,8,78.1%
2016-11-27,HAMILTON,"$3,260,089","$3,150,384",103.5%,$303.21,$998,10752,10568,8,101.7%
2016-11-27,HEISENBERG,"$312,461","$600,208",52.1%,$84.91,$155,3680,4404,6,83.6%
2016-11-27,HOLIDAY INN,"$662,978","$1,029,184",64.4%,$94.94,$167,6983,7984,8,87.5%
2016-11-27,IN TRANSIT,"$257,037","$734,048",35.0%,$66.61,$249,3859,5264,8,73.3%
2016-11-27,JERSEY BOYS,"$982,855","$1,208,505",81.3%,$122.12,$199,8048,9824,8,81.9%
2016-11-27,KINKY BOOTS,"$872,402","$1,281,212",68.1%,$98.72,$299,8837,11392,8,77.6%
2016-11-27,LES LIAISONS DANGEREUSES,"$428,583","$822,852",52.1%,$84.99,$248,5043,6160,8,81.9%
2016-11-27,MATILDA,"$1,263,262","$1,209,739",104.4%,$112.05,$250,11274,11456,8,98.4%
2016-11-27,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$1,282,384","$983,464",130.4%,$142.88,$297,8975,9104,8,98.6%
2016-11-27,"OH, HELLO ON BROADWAY","$618,812","$754,318",82.0%,$98.60,$248,6276,7288,8,86.1%
2016-11-27,ON YOUR FEET!,"$761,920","$1,552,352",49.1%,$96.27,$199,7914,13008,8,60.8%
2016-11-27,PARAMOUR,"$1,078,535","$1,805,456",59.7%,$103.59,$199,10412,15168,8,68.6%
2016-11-27,SCHOOL OF ROCK,"$1,590,032","$1,710,836",92.9%,$125.86,$248,12633,13455,9,93.9%
2016-11-27,SOMETHING ROTTEN!,"$865,686","$1,498,375",57.8%,$89.99,$277,9620,13336,8,72.1%
2016-11-27,THE BOOK OF MORMON,"$1,533,940","$1,380,256",111.1%,$176.29,$477,8701,8528,8,102.0%
2016-11-27,THE CHERRY ORCHARD,"$284,434","$707,360",40.2%,$60.05,$252,4737,5840,8,81.1%
2016-11-27,THE COLOR PURPLE,"$599,538","$1,021,352",58.7%,$97.71,$193,6136,8408,8,73.0%
2016-11-27,THE ENCOUNTER,"$259,068","$695,732",37.2%,$65.99,$223,3926,6040,8,65.0%
2016-11-27,THE FRONT PAGE,"$1,306,273","$1,354,130",96.5%,$140.84,$373,9275,9424,8,98.4%
2016-11-27,THE HUMANS,"$605,131","$976,376",62.0%,$99.27,$297,6096,8280,8,73.6%
2016-11-27,THE ILLUSIONISTS - TURN OF THE CENTURY,"$702,819","$1,472,349",47.7%,$92.22,$247,7621,11837,7,64.4%
2016-11-27,THE LION KING,"$2,496,332","$2,340,744",106.6%,$184.87,$225,13503,13568,8,99.5%
2016-11-27,THE PHANTOM OF THE OPERA,"$1,256,000","$1,493,252",84.1%,$106.48,$203,11796,12840,8,91.9%
2016-11-27,WAITRESS,"$969,116","$1,019,480",95.1%,$132.61,$270,7308,8360,8,87.4%
2016-11-27,WICKED,"$2,286,976","$1,779,845",128.5%,$160.67,$240,14234,14456,8,98.5%
2016-11-20,A BRONX TALE THE MUSICAL,"$651,268","$824,318",79.0%,$96.41,$210,6755,7308,7,92.4%
2016-11-20,ALADDIN,"$1,356,518","$1,547,944",87.6%,$101.72,$218,13336,13816,8,96.5%
2016-11-20,BEAUTIFUL,"$919,740","$1,117,426",82.3%,$118.68,$249,7750,8208,8,94.4%
2016-11-20,CATS,"$816,927","$1,426,700",57.3%,$90.96,$197,8981,11000,8,81.6%
2016-11-20,CHICAGO,"$494,898","$947,952",52.2%,$79.69,$187,6210,8640,8,71.9%
2016-11-20,DEAR EVAN HANSEN,"$804,291","$879,536",91.4%,$119.05,$248,6756,6888,7,98.1%
2016-11-20,FALSETTOS,"$632,590","$934,232",67.7%,$93.30,$252,6780,7456,8,90.9%
2016-11-20,FIDDLER ON THE ROOF,"$702,069","$1,521,100",46.2%,$84.82,$225,8277,13656,8,60.6%
2016-11-20,HAMILTON,"$2,454,656","$1,943,120",126.3%,$228.30,$549,10752,10568,8,101.7%
2016-11-20,HEISENBERG,"$426,167","$794,920",53.6%,$86.57,$155,4923,5824,8,84.5%
2016-11-20,HOLIDAY INN,"$538,271","$968,824",55.6%,$85.10,$162,6325,7984,8,79.2%
2016-11-20,IN TRANSIT,"$238,222","$734,048",32.5%,$54.51,$249,4370,5264,8,83.0%
2016-11-20,JERSEY BOYS,"$895,029","$1,151,143",77.8%,$103.64,$199,8636,9824,8,87.9%
2016-11-20,KINKY BOOTS,"$703,032","$1,279,656",54.9%,$93.29,$299,7536,11392,8,66.2%
2016-11-20,LES LIAISONS DANGEREUSES,"$679,608","$839,572",80.9%,$127.55,$248,5328,6160,8,86.5%
2016-11-20,MATILDA,"$870,124","$1,209,739",71.9%,$86.36,$250,10076,11456,8,88.0%
2016-11-20,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$888,329","$983,464",90.3%,$108.74,$297,8169,9104,8,89.7%
2016-11-20,"OH, HELLO ON BROADWAY","$503,823","$754,318",66.8%,$84.39,$248,5970,7288,8,81.9%
2016-11-20,ON YOUR FEET!,"$818,015","$1,552,352",52.7%,$94.49,$199,8657,13008,8,66.6%
2016-11-20,PARAMOUR,"$883,963","$1,805,456",49.0%,$83.97,$199,10527,15168,8,69.4%
2016-11-20,SCHOOL OF ROCK,"$958,281","$1,523,357",62.9%,$97.11,$248,9868,11960,8,82.5%
2016-11-20,SOMETHING ROTTEN!,"$596,494","$1,301,440",45.8%,$78.88,$277,7562,11056,8,68.4%
2016-11-20,THE BOOK OF MORMON,"$1,326,359","$1,345,936",98.5%,$151.91,$477,8731,8528,8,102.4%
2016-11-20,THE CHERRY ORCHARD,"$309,281","$707,360",43.7%,$68.03,$252,4546,5840,8,77.8%
2016-11-20,THE COLOR PURPLE,"$396,147","$1,015,182",39.0%,$75.24,$193,5265,8408,8,62.6%
2016-11-20,THE ENCOUNTER,"$239,584","$695,732",34.4%,$71.50,$223,3351,6040,8,55.5%
2016-11-20,THE FRONT PAGE,"$1,249,794","$1,333,080",93.8%,$137.55,$373,9086,9424,8,96.4%
2016-11-20,THE HUMANS,"$540,414","$976,376",55.3%,$87.83,$297,6153,8280,8,74.3%
2016-11-20,THE LION KING,"$1,812,204","$1,851,315",97.9%,$135.94,$225,13331,13568,8,98.3%
2016-11-20,THE PHANTOM OF THE OPERA,"$731,274","$1,489,388",49.1%,$82.92,$203,8819,12840,8,68.7%
2016-11-20,WAITRESS,"$844,022","$1,019,480",82.8%,$112.43,$270,7507,8360,8,89.8%
2016-11-20,WICKED,"$1,481,062","$1,779,845",83.2%,$117.66,$240,12588,14456,8,87.1%
2016-11-13,A BRONX TALE THE MUSICAL,"$678,926","$824,318",82.4%,$100.28,$210,6770,7308,7,92.6%
2016-11-13,ALADDIN,"$1,425,618","$1,558,266",91.5%,$105.30,$218,13539,13816,8,98.0%
2016-11-13,BEAUTIFUL,"$964,240","$1,117,426",86.3%,$121.59,$249,7930,8208,8,96.6%
2016-11-13,CATS,"$864,284","$1,426,700",60.6%,$97.79,$197,8838,11000,8,80.3%
2016-11-13,CHICAGO,"$556,968","$947,952",58.8%,$82.62,$187,6741,8640,8,78.0%
2016-11-13,FALSETTOS,"$612,384","$934,232",65.5%,$90.43,$252,6772,7456,8,90.8%
2016-11-13,FIDDLER ON THE ROOF,"$760,739","$1,521,100",50.0%,$86.54,$225,8791,13656,8,64.4%
2016-11-13,HAMILTON,"$2,452,746","$1,943,120",126.2%,$228.04,$549,10756,10568,8,101.8%
2016-11-13,HEISENBERG,"$405,006","$726,755",55.7%,$81.65,$165,4960,5656,8,87.7%
2016-11-13,HOLIDAY INN,"$563,605","$968,824",58.2%,$87.41,$162,6448,7984,8,80.8%
2016-11-13,IN TRANSIT,"$180,893","$458,780",39.4%,$57.35,$249,3154,3290,5,95.9%
2016-11-13,JERSEY BOYS,"$913,377","$1,151,143",79.3%,$102.86,$199,8880,9824,8,90.4%
2016-11-13,KINKY BOOTS,"$888,131","$1,279,656",69.4%,$93.01,$299,9549,11392,8,83.8%
2016-11-13,LES LIAISONS DANGEREUSES,"$661,581","$839,572",78.8%,$128.54,$248,5147,6160,8,83.6%
2016-11-13,MATILDA,"$955,175","$1,209,739",79.0%,$87.40,$250,10929,11456,8,95.4%
2016-11-13,MY LOVE LETTER TO BROADWAY,"$1,003,265","$1,092,204",91.9%,$120.15,$247,8350,9024,6,92.5%
2016-11-13,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$1,038,143","$983,464",105.6%,$117.54,$297,8832,9104,8,97.0%
2016-11-13,"OH, HELLO ON BROADWAY","$540,865","$754,318",71.7%,$86.48,$248,6254,7288,8,85.8%
2016-11-13,ON YOUR FEET!,"$876,636","$1,552,352",56.5%,$94.10,$199,9316,13008,8,71.6%
2016-11-13,PARAMOUR,"$917,418","$1,805,456",50.8%,$80.63,$199,11378,15168,8,75.0%
2016-11-13,SCHOOL OF ROCK,"$1,061,975","$1,523,357",69.7%,$99.39,$248,10685,11960,8,89.3%
2016-11-13,SOMETHING ROTTEN!,"$674,604","$1,348,880",50.0%,$77.01,$277,8760,11704,8,74.8%
2016-11-13,THE BOOK OF MORMON,"$1,337,461","$1,345,936",99.4%,$153.27,$477,8726,8528,8,102.3%
2016-11-13,THE CHERRY ORCHARD,"$326,810","$707,360",46.2%,$68.00,$252,4806,5840,8,82.3%
2016-11-13,THE COLOR PURPLE,"$695,669","$1,015,182",68.5%,$95.22,$193,7306,8408,8,86.9%
2016-11-13,THE ENCOUNTER,"$246,529","$698,238",35.3%,$67.97,$223,3627,6040,8,60.0%
2016-11-13,THE FRONT PAGE,"$1,253,703","$1,333,080",94.0%,$132.51,$373,9461,9424,8,100.4%
2016-11-13,THE HUMANS,"$601,317","$976,376",61.6%,$86.58,$297,6945,8280,8,83.9%
2016-11-13,THE LION KING,"$1,838,816","$1,748,655",105.2%,$135.87,$225,13534,13568,8,99.7%
2016-11-13,THE PHANTOM OF THE OPERA,"$906,205","$1,489,388",60.8%,$88.76,$203,10210,12840,8,79.5%
2016-11-13,WAITRESS,"$924,696","$1,019,480",90.7%,$122.69,$270,7537,8360,8,90.2%
2016-11-13,WICKED,"$1,752,417","$1,779,845",98.5%,$121.47,$240,14427,14456,8,99.8%
2016-11-06,A BRONX TALE THE MUSICAL,"$324,821","$354,702",91.6%,$108.60,$210,2991,3132,3,95.5%
2016-11-06,ALADDIN,"$1,290,024","$1,566,121",82.4%,$99.13,$218,13013,13816,8,94.2%
2016-11-06,BEAUTIFUL,"$852,256","$1,117,426",76.3%,$113.11,$249,7535,8208,8,91.8%
2016-11-06,CATS,"$717,874","$1,426,700",50.3%,$97.30,$197,7378,11000,8,67.1%
2016-11-06,CHICAGO,"$486,776","$947,952",51.4%,$81.26,$187,5990,8640,8,69.3%
2016-11-06,FALSETTOS,"$600,206","$934,232",64.2%,$89.00,$252,6744,7456,8,90.5%
2016-11-06,FIDDLER ON THE ROOF,"$604,999","$1,521,100",39.8%,$83.45,$225,7250,13656,8,53.1%
2016-11-06,HAMILTON,"$2,227,546","$1,943,120",114.6%,$207.56,$549,10732,10568,8,101.6%
2016-11-06,HEISENBERG,"$419,734","$783,458",53.6%,$86.76,$165,4838,5656,8,85.5%
2016-11-06,HOLIDAY INN,"$445,157","$968,824",45.9%,$80.28,$162,5545,7984,8,69.5%
2016-11-06,JERSEY BOYS,"$784,834","$1,151,143",68.2%,$99.99,$199,7849,9824,8,79.9%
2016-11-06,KINKY BOOTS,"$735,177","$1,279,656",57.5%,$92.88,$299,7915,11392,8,69.5%
2016-11-06,LES LIAISONS DANGEREUSES,"$657,991","$851,892",77.2%,$120.87,$248,5444,6224,8,87.5%
2016-11-06,MATILDA,"$760,551","$1,209,739",62.9%,$77.29,$250,9840,11456,8,85.9%
2016-11-06,MY LOVE LETTER TO BROADWAY,"$851,694","$1,092,204",78.0%,$106.96,$247,7963,9024,6,88.2%
2016-11-06,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$1,025,106","$983,464",104.2%,$118.67,$297,8638,9104,8,94.9%
2016-11-06,"OH, HELLO ON BROADWAY","$485,191","$754,318",64.3%,$84.35,$248,5752,7288,8,78.9%
2016-11-06,ON YOUR FEET!,"$714,753","$1,552,352",46.0%,$94.53,$199,7561,13008,8,58.1%
2016-11-06,PARAMOUR,"$884,874","$1,805,456",49.0%,$80.58,$199,10981,15168,8,72.4%
2016-11-06,SCHOOL OF ROCK,"$874,607","$1,523,357",57.4%,$89.32,$248,9792,11960,8,81.9%
2016-11-06,SOMETHING ROTTEN!,"$548,653","$1,405,200",39.0%,$78.42,$277,6996,12688,8,55.1%
2016-11-06,THE BOOK OF MORMON,"$1,292,274","$1,345,936",96.0%,$148.61,$477,8696,8528,8,102.0%
2016-11-06,THE CHERRY ORCHARD,"$309,722","$707,360",43.8%,$72.60,$252,4266,5840,8,73.0%
2016-11-06,THE COLOR PURPLE,"$528,796","$1,015,182",52.1%,$85.82,$193,6162,8408,8,73.3%
2016-11-06,THE ENCOUNTER,"$246,547","$695,732",35.4%,$66.44,$223,3711,6040,8,61.4%
2016-11-06,THE FRONT PAGE,"$1,282,500","$1,333,080",96.2%,$134.04,$373,9568,9424,8,101.5%
2016-11-06,THE HUMANS,"$559,566","$976,376",57.3%,$84.62,$297,6613,8280,8,79.9%
2016-11-06,THE LION KING,"$1,834,961","$1,875,480",97.8%,$139.27,$225,13176,13568,8,97.1%
2016-11-06,THE PHANTOM OF THE OPERA,"$776,358","$1,489,388",52.1%,$88.39,$203,8783,12840,8,68.4%
2016-11-06,WAITRESS,"$819,567","$1,019,480",80.4%,$118.81,$270,6898,8360,8,82.5%
2016-11-06,WICKED,"$1,435,835","$1,779,845",80.7%,$114.89,$240,12497,14456,8,86.4%
2016-10-30,ALADDIN,"$1,286,000","$1,388,593",92.6%,$97.96,$218,13128,13816,8,95.0%
2016-10-30,BEAUTIFUL,"$871,840","$1,117,426",78.0%,$111.46,$249,7822,8208,8,95.3%
2016-10-30,BLACK TO THE FUTURE,"$137,677","$168,928",81.5%,$91.24,$167,1509,1626,1,92.8%
2016-10-30,CATS,"$815,609","$1,426,700",57.2%,$97.20,$197,8391,11000,8,76.3%
2016-10-30,CHICAGO,"$561,826","$947,952",59.3%,$83.62,$187,6719,8640,8,77.8%
2016-10-30,FALSETTOS,"$492,541","$801,468",61.5%,$73.56,$252,6696,7456,8,89.8%
2016-10-30,FIDDLER ON THE ROOF,"$603,563","$1,521,100",39.7%,$81.06,$225,7446,13656,8,54.5%
2016-10-30,FRANKIE VALLI AND THE FOUR SEASONS ON BROADWAY,"$686,888","$827,712",83.0%,$124.57,$250,5514,6016,4,91.7%
2016-10-30,HAMILTON,"$2,215,641","$1,943,120",114.0%,$206.03,$549,10754,10568,8,101.8%
2016-10-30,HEISENBERG,"$446,287","$740,803",60.2%,$86.86,$150,5138,5520,8,93.1%
2016-10-30,HOLIDAY INN,"$445,600","$968,824",46.0%,$85.99,$162,5182,7984,8,64.9%
2016-10-30,JERSEY BOYS,"$781,211","$1,151,143",67.9%,$92.70,$199,8427,9824,8,85.8%
2016-10-30,KINKY BOOTS,"$688,766","$1,279,656",53.8%,$89.69,$299,7679,11392,8,67.4%
2016-10-30,LES LIAISONS DANGEREUSES,"$575,551","$851,892",67.6%,$101.67,$248,5661,6224,8,91.0%
2016-10-30,MATILDA,"$693,491","$1,209,739",57.3%,$74.81,$250,9270,11456,8,80.9%
2016-10-30,"NATASHA, PIERRE & THE GREAT COMET OF 1812","$1,065,151","$981,302",108.5%,$123.80,$297,8604,9088,8,94.7%
2016-10-30,"OH, HELLO ON BROADWAY","$492,715","$745,596",66.1%,$79.38,$248,6207,7288,8,85.2%
2016-10-30,ON YOUR FEET!,"$705,544","$1,552,352",45.5%,$92.51,$199,7627,13008,8,58.6%
2016-10-30,PARAMOUR,"$1,005,388","$1,805,456",55.7%,$80.84,$199,12437,15168,8,82.0%
2016-10-30,SCHOOL OF ROCK,"$827,448","$1,523,357",54.3%,$87.71,$248,9434,11960,8,78.9%
2016-10-30,SOMETHING ROTTEN!,"$494,814","$1,437,800",34.4%,$80.37,$277,6157,13336,8,46.2%
2016-10-30,THE BOOK OF MORMON,"$1,261,390","$1,345,936",93.7%,$145.30,$477,8681,8528,8,101.8%
2016-10-30,THE CHERRY ORCHARD,"$339,767","$707,360",48.0%,$79.37,$252,4281,5840,8,73.3%
2016-10-30,THE COLOR PURPLE,"$614,642","$1,015,182",60.5%,$90.31,$193,6806,8408,8,80.9%
2016-10-30,THE ENCOUNTER,"$297,905","$725,428",41.1%,$81.24,$223,3667,6040,8,60.7%
